url_id	url	description
URL_0606	https://callfreda.com/rentalresults.php?vr=view&checkin=06/06/2026&checkout=06/13/2026&BD=1&MBD=7&BTH=1&MBTH=5&MN=0&MX=999000&Amenities=Air%20Conditioning,Outside%20Shower,Washer,Dryer	All
URL_0613	https://callfreda.com/rentalresults.php?vr=view&checkin=06/13/2026&checkout=06/20/2026&BD=1&MBD=7&BTH=1&MBTH=5&MN=0&MX=999000&Amenities=Air%20Conditioning,Outside%20Shower,Washer,Dryer	All
URL_0620	https://callfreda.com/rentalresults.php?vr=view&checkin=06/20/2026&checkout=06/27/2026&BD=1&MBD=7&BTH=1&MBTH=5&MN=0&MX=999000&Amenities=Air%20Conditioning,Outside%20Shower,Washer,Dryer	All
URL_0627	https://callfreda.com/rentalresults.php?vr=view&checkin=06/27/2026&checkout=07/04/2026&BD=1&MBD=7&BTH=1&MBTH=5&MN=0&MX=999000&Amenities=Air%20Conditioning,Outside%20Shower,Washer,Dryer	All
URL_0704	https://callfreda.com/rentalresults.php?vr=view&checkin=07/04/2026&checkout=07/11/2026&BD=1&MBD=7&BTH=1&MBTH=5&MN=0&MX=999000&Amenities=Air%20Conditioning,Outside%20Shower,Washer,Dryer	All
URL_0711	https://callfreda.com/rentalresults.php?vr=view&checkin=07/11/2026&checkout=07/18/2026&BD=1&MBD=7&BTH=1&MBTH=5&MN=0&MX=999000&Amenities=Air%20Conditioning,Outside%20Shower,Washer,Dryer	All
URL_0718	https://callfreda.com/rentalresults.php?vr=view&checkin=07/18/2026&checkout=07/25/2026&BD=1&MBD=7&BTH=1&MBTH=5&MN=0&MX=999000&Amenities=Air%20Conditioning,Outside%20Shower,Washer,Dryer	All
URL_0725	https://callfreda.com/rentalresults.php?vr=view&checkin=07/25/2026&checkout=08/01/2026&BD=1&MBD=7&BTH=1&MBTH=5&MN=0&MX=999000&Amenities=Air%20Conditioning,Outside%20Shower,Washer,Dryer	All
URL_0801	https://callfreda.com/rentalresults.php?vr=view&checkin=08/01/2026&checkout=08/08/2026&BD=1&MBD=7&BTH=1&MBTH=5&MN=0&MX=999000&Amenities=Air%20Conditioning,Outside%20Shower,Washer,Dryer	All
URL_0808	https://callfreda.com/rentalresults.php?vr=view&checkin=08/08/2026&checkout=08/15/2026&BD=1&MBD=7&BTH=1&MBTH=5&MN=0&MX=999000&Amenities=Air%20Conditioning,Outside%20Shower,Washer,Dryer	All
URL_0815	https://callfreda.com/rentalresults.php?vr=view&checkin=08/15/2026&checkout=08/22/2026&BD=1&MBD=7&BTH=1&MBTH=5&MN=0&MX=999000&Amenities=Air%20Conditioning,Outside%20Shower,Washer,Dryer	All
URL_0822	https://callfreda.com/rentalresults.php?vr=view&checkin=08/22/2026&checkout=08/29/2026&BD=1&MBD=7&BTH=1&MBTH=5&MN=0&MX=999000&Amenities=Air%20Conditioning,Outside%20Shower,Washer,Dryer	All
URL_0829	https://callfreda.com/rentalresults.php?vr=view&checkin=08/29/2026&checkout=09/05/2026&BD=1&MBD=7&BTH=1&MBTH=5&MN=0&MX=999000&Amenities=Air%20Conditioning,Outside%20Shower,Washer,Dryer	All
URL_0606_BeachBlock	https://callfreda.com/rentalresults.php?vr=view&checkin=06/06/2026&checkout=06/13/2026&BD=1&MBD=7&BTH=1&MBTH=5&MN=0&MX=999000&Amenities=Air%20Conditioning,Outside%20Shower,Washer,Dryer&TW=Beach%20Block	BeachBlock
